150 PA5-A-Debug-Answer.txt 6
  126.6386  -51.2183   77.4007  -25.3402  -83.8381  -74.6654
  -34.03   -25.87   -13.07       -34.03   -25.87   -13.07     0.000
   37.79    12.36     4.93        37.79    12.36     4.93     0.000
   11.45   -17.07    -5.12        11.45   -17.07    -5.12     0.000
   34.57    15.59   -22.68        34.57    15.59   -22.68     0.000
  -12.84    -2.72     8.59       -12.84    -2.72     8.59     0.000
   -8.18     7.02    -2.08        -8.18     7.02    -2.08     0.000
   -1.47    17.16     3.00        -1.47    17.16     3.00     0.000
    2.03    -8.58    19.29         2.03    -8.58    19.29     0.000
  -23.04   -21.71   -45.88       -23.04   -21.71   -45.88     0.000
  -30.22     7.87   -34.31       -30.22     7.87   -34.31     0.000
  -34.23     0.52   -40.04       -34.23     0.52   -40.04     0.000
   34.50    16.18    -5.28        34.50    16.18    -5.28     0.000
   19.02    -5.38    20.33        19.02    -5.38    20.33     0.000
   19.02   -10.55   -21.17        19.02   -10.55   -21.17     0.000
   20.43     7.69    58.16        20.43     7.69    58.16     0.000
    8.71    10.61   -12.68         8.71    10.61   -12.68     0.000
   -7.18     7.26    -3.30        -7.18     7.26    -3.30     0.000
   -1.02   -18.01   -36.41        -1.02   -18.01   -36.41     0.000
   16.13    -5.53    17.42        16.13    -5.53    17.42     0.000
   25.60   -12.39   -10.66        25.60   -12.39   -10.66     0.000
   -1.38   -23.38   -30.35        -1.38   -23.38   -30.35     0.000
  -14.16     7.00   -11.58       -14.16     7.00   -11.58     0.000
    5.83    -5.93    28.27         5.83    -5.93    28.27     0.000
   -1.70   -24.97   -17.54        -1.70   -24.97   -17.54     0.000
    5.96     9.95    70.70         5.96     9.95    70.70     0.000
    5.69   -17.86   -14.84         5.69   -17.86   -14.84     0.000
    5.72     2.04   -21.81         5.72     2.04   -21.81     0.000
  -27.59   -19.96    -3.26       -27.59   -19.96    -3.26     0.000
  -13.83    -6.71   -45.55       -13.83    -6.71   -45.55     0.000
  -34.98   -10.78   -44.50       -34.98   -10.78   -44.50     0.000
   37.59    -2.28   -21.27        37.59    -2.28   -21.27     0.000
   33.93    13.91   -26.43        33.93    13.91   -26.43     0.000
   -7.92    28.50    10.74        -7.92    28.50    10.74     0.000
    1.78    14.19    68.44         1.78    14.19    68.44     0.000
  -11.41    16.69     5.56       -11.41    16.69     5.56     0.000
  -13.97     2.51     4.47       -13.97     2.51     4.47     0.000
    2.18     1.89   -23.50         2.18     1.89   -23.50     0.000
    3.38    -4.13   -25.31         3.38    -4.13   -25.31     0.000
   37.51    14.05   -12.50        37.51    14.05   -12.50     0.000
    2.75     5.00    69.10         2.75     5.00    69.10     0.000
  -43.67    -3.64   -20.66       -43.67    -3.64   -20.66     0.000
   12.14    -5.34    37.45        12.14    -5.34    37.45     0.000
   -1.52    15.03     1.45        -1.52    15.03     1.45     0.000
   33.76    15.61   -24.55        33.76    15.61   -24.55     0.000
  -23.32     5.58   -13.68       -23.32     5.58   -13.68     0.000
  -16.08   -29.03   -12.67       -16.08   -29.03   -12.67     0.000
    2.97     7.73   -16.83         2.97     7.73   -16.83     0.000
   35.78    14.60     4.94        35.78    14.60     4.94     0.000
   20.29    -4.64   -29.03        20.29    -4.64   -29.03     0.000
  -25.51   -32.30   -13.40       -25.51   -32.30   -13.40     0.000
   20.34     7.52    59.05        20.34     7.52    59.05     0.000
   18.27    -7.15     9.16        18.27    -7.15     9.16     0.000
   16.22    25.46   -25.44        16.22    25.46   -25.44     0.000
