150 PA5-B-Debug-Answer.txt 6
  112.9156   81.1828   30.0387  136.9067  -67.8432  -62.6191
   -1.98    -7.67    10.98        -1.98    -7.67    10.98     0.000
   -4.28     4.64   -32.65        -4.28     4.64   -32.65     0.000
   34.04   -12.28   -17.65        34.04   -12.28   -17.65     0.000
   25.37    11.13    50.05        25.37    11.13    50.05     0.000
    0.29     1.42   -23.15         0.29     1.42   -23.15     0.000
   34.64    -7.41     0.62        34.64    -7.41     0.62     0.000
   11.28   -11.45     2.68        11.28   -11.45     2.68     0.000
  -32.76     8.69   -24.66       -32.76     8.69   -24.66     0.000
  -31.37     5.51   -39.87       -31.37     5.51   -39.87     0.000
    5.95    21.35    26.26         5.95    21.35    26.26     0.000
   14.12    -6.41    12.21        14.12    -6.41    12.21     0.000
   -2.36     1.90   -25.04        -2.36     1.90   -25.04     0.000
  -12.85    -4.47     6.32       -12.85    -4.47     6.32     0.000
   33.12     0.12    15.87        33.12     0.12    15.87     0.000
    1.86    -8.82    13.61         1.86    -8.82    13.61     0.000
   22.43    14.36    66.98        22.43    14.36    66.98     0.000
   -8.35    20.22    39.16        -8.35    20.22    39.16     0.000
   21.77   -12.47   -30.85        21.77   -12.47   -30.85     0.000
   36.55    -3.26    -3.79        36.55    -3.26    -3.79     0.000
  -24.99    10.93   -36.35       -24.99    10.93   -36.35     0.000
   34.68    10.91    -7.41        34.68    10.91    -7.41     0.000
    9.02     4.14   -12.08         9.02     4.14   -12.08     0.000
  -37.04     3.74   -32.50       -37.04     3.74   -32.50     0.000
   18.80    -7.69     7.02        18.80    -7.69     7.02     0.000
   25.01    11.62    32.92        25.01    11.62    32.92     0.000
  -19.71    25.43    23.61       -19.71    25.43    23.61     0.000
    6.66   -15.28    -8.25         6.66   -15.28    -8.25     0.000
   -0.80    -8.99   -39.43        -0.80    -8.99   -39.43     0.000
   12.96    22.48    39.19        12.96    22.48    39.19     0.000
  -11.84   -23.34   -44.18       -11.84   -23.34   -44.18     0.000
   13.04    -3.09    29.36        13.04    -3.09    29.36     0.000
   -9.87     9.95   -32.52        -9.87     9.95   -32.52     0.000
   24.82    -4.98   -27.89        24.82    -4.98   -27.89     0.000
  -15.62    26.70    27.36       -15.62    26.70    27.36     0.000
   31.57    13.33    -7.95        31.57    13.33    -7.95     0.000
  -11.00     3.05    25.81       -11.00     3.05    25.81     0.000
    5.09   -13.62    -4.58         5.09   -13.62    -4.58     0.000
   21.84    14.82    26.37        21.84    14.82    26.37     0.000
  -14.16     8.29    26.63       -14.16     8.29    26.63     0.000
   16.96    21.56    16.45        16.96    21.56    16.45     0.000
    3.33    21.15    21.22         3.33    21.15    21.22     0.000
   16.38    19.10    59.22        16.38    19.10    59.22     0.000
    1.11    -1.56   -25.33         1.11    -1.56   -25.33     0.000
    5.19   -18.32   -22.02         5.19   -18.32   -22.02     0.000
  -17.32    26.28    28.39       -17.32    26.28    28.39     0.000
   13.71   -12.02   -21.74        13.71   -12.02   -21.74     0.000
    0.07    21.47    16.97         0.07    21.47    16.97     0.000
  -33.15   -17.54   -14.64       -33.15   -17.54   -14.64     0.000
   -3.58   -19.11   -40.97        -3.58   -19.11   -40.97     0.000
  -26.45     8.89   -17.70       -26.45     8.89   -17.70     0.000
   -8.65    12.38    43.30        -8.65    12.38    43.30     0.000
  -30.23   -21.05   -14.02       -30.23   -21.05   -14.02     0.000
  -29.71   -24.49   -41.41       -29.71   -24.49   -41.41     0.000
   33.82    -9.04    -5.62        33.82    -9.04    -5.62     0.000
   -3.28    19.67    39.79        -3.28    19.67    39.79     0.000
   10.97    17.95   -26.05        10.97    17.95   -26.05     0.000
   15.65    17.54   -24.31        15.65    17.54   -24.31     0.000
  -30.80   -27.05   -36.25       -30.80   -27.05   -36.25     0.000
   -6.99   -19.55    -9.31        -6.99   -19.55    -9.31     0.000
  -21.84    -7.24    -5.98       -21.84    -7.24    -5.98     0.000
   10.47    -4.68    63.04        10.47    -4.68    63.04     0.000
   27.32    18.80     2.83        27.32    18.80     2.83     0.000
    7.64   -11.44     1.13         7.64   -11.44     1.13     0.000
   35.44    12.34     5.43        35.44    12.34     5.43     0.000
    6.19    -2.42   -23.06         6.19    -2.42   -23.06     0.000
  -35.95   -20.08   -37.69       -35.95   -20.08   -37.69     0.000
  -10.92    -4.84   -48.09       -10.92    -4.84   -48.09     0.000
   27.32     3.80    47.14        27.32     3.80    47.14     0.000
  -10.21    18.47    40.48       -10.21    18.47    40.48     0.000
   14.54    22.00    13.93        14.54    22.00    13.93     0.000
  -31.12     6.73   -19.43       -31.12     6.73   -19.43     0.000
   22.52     2.59   -28.29        22.52     2.59   -28.29     0.000
   -6.48    -2.84    23.36        -6.48    -2.84    23.36     0.000
  -26.41     1.28   -46.45       -26.41     1.28   -46.45     0.000
   -6.61    11.13     0.92        -6.61    11.13     0.92     0.000
  -42.91   -15.86   -37.14       -42.91   -15.86   -37.14     0.000
   -7.76     8.61   -32.91        -7.76     8.61   -32.91     0.000
   -0.50    14.58    -0.05        -0.50    14.58    -0.05     0.000
  -24.20     5.97   -15.85       -24.20     5.97   -15.85     0.000
   -3.78    16.87    51.75        -3.78    16.87    51.75     0.000
  -29.45   -27.02   -19.24       -29.45   -27.02   -19.24     0.000
  -34.37     3.03   -38.78       -34.37     3.03   -38.78     0.000
    5.90    11.18   -18.33         5.90    11.18   -18.33     0.000
   18.77   -15.98   -13.67        18.77   -15.98   -13.67     0.000
  -21.43    -5.57   -49.44       -21.43    -5.57   -49.44     0.000
  -31.96     9.32   -23.96       -31.96     9.32   -23.96     0.000
   18.44    18.43    52.08        18.44    18.43    52.08     0.000
  -27.14    -9.81   -48.38       -27.14    -9.81   -48.38     0.000
   27.95    14.62   -19.58        27.95    14.62   -19.58     0.000
    3.61    12.73   -21.65         3.61    12.73   -21.65     0.000
  -27.30   -16.80   -47.71       -27.30   -16.80   -47.71     0.000
  -30.50   -22.49   -15.20       -30.50   -22.49   -15.20     0.000
   24.26    -4.06    39.40        24.26    -4.06    39.40     0.000
   22.87    -0.91    67.58        22.87    -0.91    67.58     0.000
   28.13     9.73   -25.21        28.13     9.73   -25.21     0.000
   -4.19    19.37    41.84        -4.19    19.37    41.84     0.000
  -32.75    -3.78   -12.03       -32.75    -3.78   -12.03     0.000
   -8.49    14.08    42.60        -8.49    14.08    42.60     0.000
    2.99     6.58   -10.93         2.99     6.58   -10.93     0.000
    0.65    -0.22    48.39         0.65    -0.22    48.39     0.000
  -30.87    -5.45   -11.42       -30.87    -5.45   -11.42     0.000
   34.32    -1.42   -25.10        34.32    -1.42   -25.10     0.000
   -4.38   -22.01   -15.87        -4.38   -22.01   -15.87     0.000
   35.01    -6.64    -4.78        35.01    -6.64    -4.78     0.000
   18.95   -14.37    -7.50        18.95   -14.37    -7.50     0.000
  -15.31   -25.70   -43.59       -15.31   -25.70   -43.59     0.000
   21.35    21.67     2.60        21.35    21.67     2.60     0.000
  -31.96   -23.50   -40.08       -31.96   -23.50   -40.08     0.000
   21.29   -13.04   -29.30        21.29   -13.04   -29.30     0.000
  -12.23    11.09    33.18       -12.23    11.09    33.18     0.000
   14.02   -16.03   -10.15        14.02   -16.03   -10.15     0.000
   -4.74    23.03    24.11        -4.74    23.03    24.11     0.000
    3.70    19.61    47.12         3.70    19.61    47.12     0.000
   22.23    -1.78   -27.67        22.23    -1.78   -27.67     0.000
    6.76    -0.61   -20.55         6.76    -0.61   -20.55     0.000
