400 PA5-E-Debug-Answer.txt 6
   85.4398   73.5342  -15.8592   91.6884   75.1156   54.9589
   29.91    19.32     0.43        29.89    19.28     0.43     0.048
   10.78    -0.86    68.78        10.78    -0.86    68.79     0.003
   14.99    -6.30    16.01        14.99    -6.27    16.00     0.033
    8.59    21.93    -5.21         8.66    21.81    -5.16     0.149
  -28.12   -27.07   -20.65       -28.11   -27.04   -20.67     0.044
   11.98    23.22    67.43        12.09    23.03    67.33     0.238
   21.70    20.05    16.40        21.75    20.19    16.41     0.147
   -0.40    -3.53    45.86        -0.44    -3.66    45.86     0.140
  -13.12     5.27    39.51       -12.94     5.38    39.40     0.236
    6.80    -4.39    36.50         6.79    -4.33    36.50     0.064
  -19.81   -30.02   -27.66       -19.81   -30.04   -27.66     0.020
   27.76    17.22   -19.36        27.85    17.25   -19.41     0.100
   -6.68    -1.27    44.28        -6.64    -1.22    44.28     0.066
   28.07    20.25    -0.04        28.02    20.14    -0.03     0.118
  -21.53     4.72   -15.99       -21.53     4.72   -16.01     0.019
   -7.90   -17.93   -13.93        -7.85   -17.98   -13.89     0.077
   -9.56    18.00    32.82        -9.55    18.15    32.86     0.154
   -6.69    12.95    14.49        -6.75    12.99    14.47     0.076
  -32.44   -17.24   -12.76       -32.43   -17.24   -12.76     0.012
   11.30    13.07   -22.62        11.39    13.08   -22.64     0.096
   18.14    -9.70     5.34        18.11    -9.66     5.32     0.050
   20.32    21.49   -15.02        20.31    21.50   -15.03     0.013
  -13.70     3.87     3.28       -13.73     3.90     3.28     0.042
    5.66   -12.49   -23.67         5.69   -12.53   -23.69     0.055
    4.21    21.73    51.83         4.21    21.74    51.83     0.006
   14.73   -14.57   -18.18        14.72   -14.58   -18.19     0.016
   23.33     0.11    38.66        23.39     0.05    38.67     0.079
   20.04    -9.32   -23.62        20.04    -9.31   -23.54     0.077
  -34.78    -9.41   -13.10       -34.71    -9.40   -13.14     0.075
  -27.37     8.84   -24.95       -27.35     8.76   -24.95     0.089
   23.54    17.69    27.21        23.48    17.63    27.21     0.088
  -25.51     8.19   -35.14       -25.54     8.26   -35.14     0.076
   -5.29    19.04    32.70        -5.32    19.12    32.70     0.093
   30.21    12.73    14.37        30.13    12.69    14.32     0.105
  -19.42     5.62   -16.45       -19.41     5.62   -16.45     0.006
    3.05    -4.03    52.61         3.07    -3.91    52.60     0.118
    3.17    16.52    -5.13         3.19    16.51    -5.13     0.024
   25.67     6.16    40.46        25.57     6.17    40.44     0.105
   -4.01   -17.90   -20.69        -3.92   -18.02   -20.67     0.151
  -19.83    -8.84    -5.52       -19.85    -8.83    -5.50     0.029
  -31.12   -13.73   -10.34       -31.12   -13.73   -10.35     0.009
  -38.17   -19.25   -34.75       -38.29   -19.25   -34.78     0.118
   22.28    19.92    13.73        22.32    20.05    13.73     0.141
   21.82     4.12    58.61        21.89     4.10    58.62     0.067
   11.10    -6.16    17.04        11.10    -6.13    17.03     0.021
  -33.50   -24.83   -26.37       -33.51   -24.85   -26.37     0.025
  -38.05    -7.20   -39.76       -38.14    -7.18   -39.83     0.119
   20.04    20.16   -23.81        20.03    20.14   -23.81     0.026
   -2.44   -10.30     1.95        -2.44   -10.25     1.94     0.048
  -33.70    -9.50   -44.76       -33.70    -9.50   -44.76     0.002
  -24.51   -21.71   -12.40       -24.49   -21.69   -12.44     0.052
  -15.27     1.99    -2.86       -15.39     2.10    -2.87     0.165
  -33.26   -13.60   -45.27       -33.25   -13.60   -45.24     0.026
   -2.97    -4.46    42.16        -2.95    -4.59    42.18     0.137
   30.93    15.63    10.09        30.93    15.64    10.10     0.015
  -39.48   -18.53   -24.92       -39.48   -18.53   -24.92     0.001
  -31.96    -2.05   -13.59       -31.97    -2.04   -13.57     0.020
   -9.93     6.66     0.08       -10.00     6.76     0.07     0.122
  -38.84   -16.48   -32.59       -38.94   -16.50   -32.62     0.105
   10.45    13.77   -16.62        10.44    13.74   -16.62     0.033
  -30.83    -9.49    -9.86       -30.83    -9.49    -9.85     0.013
   31.56    17.15    -8.79        31.57    17.16    -8.79     0.016
    3.15    -3.65   -25.33         3.10    -3.68   -25.28     0.075
  -31.34   -14.44   -45.58       -31.34   -14.44   -45.59     0.007
   -5.26   -19.09   -36.93        -5.13   -19.12   -36.98     0.144
   26.83    11.22    29.78        26.92    11.27    29.80     0.104
   23.46    21.61    -9.11        23.49    21.69    -9.13     0.087
  -15.19   -10.99   -48.61       -15.19   -11.00   -48.57     0.047
   20.33   -11.60    -0.66        20.32   -11.59    -0.67     0.016
  -30.24   -25.94   -20.53       -30.24   -25.94   -20.53     0.000
   26.66     7.32    34.26        26.76     7.34    34.28     0.110
    3.49     8.60   -13.22         3.49     8.59   -13.21     0.013
   -7.14   -22.03   -40.10        -7.15   -22.03   -40.10     0.005
   21.72    -9.51   -23.94        21.73    -9.52   -23.92     0.027
   -7.86     9.96    46.69        -7.87     9.95    46.69     0.012
   36.65     9.18    -8.75        36.65     9.18    -8.75     0.005
  -25.97   -11.48    -9.94       -25.97   -11.48    -9.93     0.019
   27.16    18.30   -19.58        27.17    18.31   -19.59     0.025
   29.79     5.75   -27.09        29.73     5.72   -27.07     0.075
  -21.13    -1.16   -47.10       -21.14    -1.18   -47.05     0.061
   30.77    16.45     9.15        30.78    16.49     9.24     0.095
   10.11    -3.56    60.18        10.09    -3.31    60.17     0.252
   27.72    20.16    -5.97        27.71    20.14    -5.97     0.018
   18.36   -16.42    -9.07        18.38   -16.50    -9.07     0.085
   -0.06    -1.89    65.50        -0.12    -2.03    65.51     0.149
  -17.84     4.52   -15.99       -17.84     4.52   -15.98     0.016
   -6.17     5.22    52.50        -6.06     5.24    52.49     0.111
  -21.01     8.89   -36.02       -21.01     8.89   -36.02     0.009
  -42.40    -8.02   -27.60       -42.48    -8.03   -27.59     0.080
  -33.70    -1.91   -14.64       -33.72    -1.88   -14.58     0.064
  -24.44    -4.58   -47.22       -24.40    -4.53   -47.34     0.142
  -39.34   -15.53   -30.72       -39.39   -15.52   -30.77     0.080
  -27.96   -24.28   -41.26       -27.98   -24.34   -41.31     0.079
    2.03    17.00    -2.30         2.18    16.93    -2.24     0.170
  -26.70   -28.43   -24.39       -26.71   -28.51   -24.37     0.084
  -33.36     2.97   -38.29       -33.29     2.93   -38.23     0.103
   -1.75    18.47    65.80        -1.78    18.51    65.81     0.049
    5.35   -14.23   -13.43         5.35   -14.26   -13.43     0.029
   -7.16     9.78    50.22        -7.04     9.78    50.19     0.125
   19.01   -13.09    -2.61        19.03   -13.14    -2.59     0.061
    9.53    23.09    -2.66         9.55    23.04    -2.65     0.056
  -31.97   -12.21   -46.65       -31.96   -12.20   -46.64     0.012
   -8.93   -21.74   -17.45        -8.84   -21.79   -17.40     0.116
   -8.41    13.79    17.95        -8.53    13.68    17.89     0.175
  -34.45   -23.53   -34.66       -34.48   -23.56   -34.67     0.046
  -40.15    -5.30   -20.85       -40.14    -5.30   -20.86     0.012
   23.81    12.16    53.22        23.74    12.16    53.21     0.071
   -3.91     1.03    58.35        -3.89     1.03    58.34     0.015
   24.25     5.96    45.57        24.48     5.93    45.63     0.232
   11.86     3.18    68.07        11.90     3.20    68.22     0.157
   33.18    -7.43    -8.51        33.22    -7.50    -8.52     0.088
   20.75     9.35    67.59        20.72     9.37    67.50     0.095
   23.37    -4.60    22.31        23.35    -4.44    22.29     0.163
  -36.26    -0.01   -37.83       -36.24    -0.04   -37.82     0.041
  -40.04   -16.55   -30.42       -40.02   -16.56   -30.40     0.029
  -11.95     5.79   -15.02       -11.92     5.68   -15.04     0.119
    0.30    19.32    10.73         0.36    19.26    10.75     0.078
  -15.90     3.69   -13.57       -15.88     3.66   -13.58     0.034
    8.96   -10.85   -23.62         8.95   -10.82   -23.59     0.042
   -1.98   -16.29   -14.82        -1.97   -16.20   -14.85     0.099
  -26.64   -27.93   -34.86       -26.64   -27.93   -34.86     0.002
    6.94    -7.08   -24.61         6.95    -7.08   -24.62     0.016
   26.41    18.28    11.48        26.52    18.38    11.61     0.202
    9.13    11.85   -12.05         9.15    11.81   -12.09     0.062
    7.27    20.46    24.76         7.27    20.44    24.76     0.027
   -7.86    13.29    16.90        -7.93    13.28    16.86     0.084
  -29.55   -27.42   -27.53       -29.49   -27.32   -27.52     0.110
   41.42     2.74    -5.72        41.49     2.74    -5.68     0.076
   -5.37   -21.16   -26.24        -5.40   -21.14   -26.25     0.038
   32.67    12.61   -12.57        32.72    12.62   -12.61     0.066
  -15.00     7.13    25.02       -15.22     7.06    24.93     0.247
  -41.46   -16.52   -27.83       -41.53   -16.59   -27.82     0.090
   13.16    10.42   -25.68        13.06    10.34   -25.70     0.131
    0.89    -9.03   -30.33         0.85    -9.03   -30.32     0.037
   -2.07   -13.54   -37.94        -2.03   -13.55   -37.96     0.043
   40.02     1.65     3.38        40.09     1.62     3.37     0.076
   -6.06    13.65    12.75        -6.09    13.66    12.74     0.032
   21.12    -9.98   -23.89        21.13    -9.99   -23.84     0.043
  -36.54   -18.01   -17.95       -36.54   -18.01   -17.95     0.006
    0.26    -1.89    68.89         0.29    -1.81    68.86     0.091
   22.04    21.09   -16.84        22.04    21.16   -16.85     0.068
  -10.26    -0.15   -43.96       -10.23    -0.13   -44.02     0.068
   -8.27   -15.30    -9.82        -8.29   -15.24    -9.87     0.088
  -16.54   -29.88   -27.94       -16.50   -29.97   -27.92     0.092
   26.27     2.87    35.46        26.24     2.88    35.44     0.039
  -23.03     9.26   -32.34       -23.03     9.28   -32.34     0.024
   17.98    -4.02    32.04        18.01    -4.12    32.05     0.102
  -28.02    -2.53   -14.18       -28.02    -2.54   -14.18     0.008
  -14.18     4.72   -13.99       -14.21     4.79   -13.97     0.075
    8.44     6.23   -14.99         8.50     6.27   -15.06     0.098
  -39.25    -2.51   -36.01       -39.28    -2.50   -36.03     0.046
   -7.19     5.62   -21.58        -7.20     5.60   -21.58     0.025
   23.94    13.52   -27.62        23.96    13.53   -27.63     0.017
  -33.27    -7.84   -44.54       -33.28    -7.83   -44.56     0.025
  -14.06     7.70   -22.10       -14.06     7.70   -22.10     0.002
    3.66   -11.07    -1.85         3.64   -11.20    -1.83     0.128
   25.48    12.88    34.69        25.62    12.94    34.70     0.149
  -12.64   -28.39   -29.10       -12.59   -28.48   -29.10     0.109
   13.61    20.78    13.64        13.61    20.73    13.64     0.047
    7.90    -3.64    65.98         7.88    -3.48    65.98     0.162
   11.39    20.73    23.40        11.38    20.79    23.39     0.065
  -10.29    -2.02    16.87       -10.27    -2.00    16.86     0.033
   21.11    18.74   -25.87        21.09    18.71   -25.84     0.036
  -28.15    -6.26   -46.66       -28.17    -6.25   -46.72     0.067
   29.16     4.46    25.98        29.07     4.45    25.95     0.094
   16.27    21.43   -15.48        16.29    21.28   -15.44     0.154
   10.31   -14.68   -14.66        10.28   -14.73   -14.66     0.063
  -13.37    15.29    25.01       -13.34    15.23    25.05     0.080
  -33.86   -19.20   -15.05       -33.80   -19.17   -15.12     0.096
   23.49     3.93   -31.29        23.48     3.92   -31.31     0.014
   -1.36   -10.04     8.64        -1.36    -9.97     8.64     0.071
  -30.53   -24.84   -38.66       -30.53   -24.82   -38.65     0.017
  -24.87     8.63   -22.40       -24.87     8.65   -22.40     0.015
   23.66    21.40    -1.05        23.69    21.50    -1.05     0.104
  -25.24   -23.45   -42.96       -25.22   -23.39   -42.89     0.093
   26.64    -3.35    23.04        26.59    -3.18    22.99     0.178
   -0.29    -7.31    29.54        -0.28    -7.35    29.54     0.037
   12.41    23.07    51.44        12.40    23.12    51.44     0.045
   21.50     1.63   -28.15        21.54     1.66   -28.12     0.054
   -5.91    -4.24    39.06        -5.93    -4.27    39.07     0.035
   -5.15     5.43    61.49        -5.14     5.44    61.48     0.017
  -12.95     5.13    13.71       -12.98     5.14    13.70     0.043
  -18.28   -28.42   -20.12       -18.28   -28.35   -20.15     0.072
   22.09    -7.04    10.71        22.09    -7.02    10.70     0.020
   20.98     3.16    64.09        20.93     3.18    64.09     0.056
   -7.13    -7.53    13.42        -7.03    -7.41    13.41     0.160
   -1.25    -1.18    66.15        -1.20    -1.14    66.14     0.066
   27.45    11.51    26.50        27.45    11.51    26.50     0.007
  -32.17   -12.06   -46.46       -32.20   -12.08   -46.50     0.049
  -12.23   -27.13   -35.65       -12.22   -27.13   -35.65     0.002
   -2.65    -4.46   -37.71        -2.63    -4.45   -37.71     0.024
    4.16    20.71    39.05         4.16    20.67    39.05     0.037
  -10.11     6.35    -2.55       -10.12     6.36    -2.55     0.006
   -9.37     7.17    -0.79        -9.33     7.11    -0.78     0.065
   18.51    -8.39     7.28        18.54    -8.45     7.31     0.075
   -4.24    -9.45     6.69        -4.27    -9.55     6.70     0.105
   22.43     4.80    55.91        22.44     4.80    55.92     0.006
  -30.25   -26.86   -31.36       -30.22   -26.79   -31.36     0.072
   26.20    -9.27     3.26        26.20    -9.25     3.26     0.018
  -11.19   -25.13   -38.36       -11.19   -25.14   -38.36     0.003
   20.00   -12.79    -2.57        20.00   -12.80    -2.57     0.014
   15.15     5.21   -21.36        15.19     5.22   -21.35     0.044
   25.37   -11.26   -11.79        25.46   -11.38   -11.81     0.149
   23.25    -1.69    34.58        23.19    -1.58    34.55     0.121
   -1.19     3.74   -23.18        -1.17     3.77   -23.20     0.044
  -22.15     9.39   -32.64       -22.15     9.38   -32.64     0.009
  -11.75     5.23    -9.25       -11.72     5.16    -9.24     0.078
   23.02    -8.79     4.17        23.02    -8.83     4.18     0.039
   23.21   -10.76    -0.64        23.21   -10.82    -0.61     0.068
   20.48     0.16   -24.65        20.57     0.21   -24.59     0.115
   22.07     6.29    64.10        21.89     6.32    64.09     0.184
   -6.49    12.03    64.36        -6.30    12.02    64.36     0.191
    2.90     1.12   -22.91         2.95     1.17   -22.96     0.085
    6.54    16.82   -12.62         6.56    16.81   -12.61     0.028
   29.77     8.57    20.27        29.92     8.61    20.33     0.164
   21.52     1.37    55.15        21.32     1.59    55.08     0.306
   -3.93   -11.94   -43.79        -3.87   -11.97   -43.81     0.075
   -4.46   -15.16   -41.68        -4.47   -15.16   -41.67     0.015
   20.38     1.76    60.22        20.45     1.70    60.23     0.100
  -39.53    -1.61   -34.28       -39.45    -1.65   -34.26     0.093
   30.69    17.46   -11.26        30.76    17.50   -11.28     0.085
  -22.51    -3.38   -11.07       -22.55    -3.35   -11.04     0.060
  -38.59    -2.24   -36.98       -38.62    -2.21   -37.00     0.051
   -4.43     4.06   -28.85        -4.43     4.06   -28.86     0.005
   34.79    12.59    -8.24        34.77    12.59    -8.24     0.016
  -11.73     5.14   -41.46       -11.73     5.15   -41.47     0.008
    3.72    -9.28    12.12         3.71    -9.32    12.13     0.040
   39.23     1.33     8.57        39.29     1.34     8.60     0.066
   36.92    -1.76   -14.70        36.95    -1.80   -14.79     0.108
  -37.44   -20.66   -22.54       -37.43   -20.65   -22.55     0.011
   22.91    15.97    51.75        23.16    16.03    51.78     0.262
  -34.10    -0.65   -40.96       -34.09    -0.66   -40.94     0.019
    2.13   -10.69    -0.92         2.11   -10.83    -0.89     0.149
   33.91    14.92    -7.17        33.87    14.88    -7.16     0.057
    1.33    -7.08    26.42         1.38    -7.20    26.43     0.130
  -34.11     1.98   -17.21       -34.08     1.93   -17.25     0.064
   40.52     3.93     5.68        40.38     3.92     5.65     0.140
   24.75     3.79    43.17        24.61     3.84    43.13     0.156
  -18.58   -29.94   -28.20       -18.58   -30.08   -28.18     0.136
   33.24    14.81    -9.67        33.25    14.83    -9.68     0.032
    3.32    16.48    -5.65         3.35    16.46    -5.64     0.036
   16.95    -1.22    59.67        16.95    -1.23    59.67     0.010
  -24.39   -25.25   -41.15       -24.39   -25.20   -41.11     0.061
   -5.52   -22.27   -30.93        -5.52   -22.27   -30.93     0.000
  -16.00    11.85    33.19       -15.95    11.84    33.18     0.046
   25.10     6.54   -31.07        25.10     6.54   -31.07     0.005
  -19.56   -29.73   -25.62       -19.55   -29.83   -25.61     0.106
  -25.39     8.29   -35.72       -25.38     8.26   -35.71     0.032
   -1.57    -5.29   -34.26        -1.64    -5.32   -34.24     0.079
   22.13    17.83    53.39        22.11    17.82    53.39     0.020
   31.88    15.23    10.03        31.82    15.21     9.94     0.110
  -38.32    -0.47   -22.30       -38.35    -0.48   -22.29     0.035
  -38.50     0.77   -24.94       -38.59     0.81   -24.92     0.097
   19.70    20.17    56.56        19.68    20.15    56.56     0.029
  -38.13   -20.99   -30.81       -38.09   -20.94   -30.80     0.055
   35.51    -4.67   -15.95        35.43    -4.61   -15.91     0.104
  -15.03     8.65    23.41       -14.94     8.67    23.45     0.099
   12.07    21.19    37.13        12.07    21.24    37.13     0.053
   15.96    -4.32    31.50        15.96    -4.32    31.50     0.003
    0.58    19.07    67.58         0.58    19.05    67.53     0.056
   31.59    11.32   -19.02        31.53    11.26   -19.00     0.088
    6.19   -10.04   -25.55         6.18   -10.04   -25.54     0.012
   26.55    -1.01   -29.80        26.55    -1.01   -29.80     0.002
   -4.55     5.97    65.93        -4.50     5.98    65.91     0.055
    6.63    22.01     0.82         6.59    22.12     0.81     0.126
   -4.21   -10.15     1.48        -4.20    -9.90     1.43     0.258
  -17.08    -6.26   -47.92       -17.08    -6.26   -47.92     0.001
  -28.15   -11.50    -9.74       -28.16   -11.50    -9.76     0.016
  -34.63     2.05   -36.95       -34.68     2.07   -36.99     0.071
  -32.35   -24.24   -19.69       -32.37   -24.27   -19.68     0.036
  -19.05   -13.06    -7.20       -19.05   -13.05    -7.22     0.024
   -7.59   -25.37   -31.85        -7.63   -25.32   -31.85     0.068
    6.38    -7.70   -25.26         6.42    -7.68   -25.30     0.059
   26.14    20.31   -15.09        26.14    20.31   -15.09     0.004
    1.02   -16.14   -16.48         1.02   -16.15   -16.48     0.001
   33.10    15.31     9.27        33.12    15.37     9.39     0.131
  -42.45    -7.86   -27.33       -42.48    -7.86   -27.33     0.023
  -31.16   -26.39   -28.95       -31.14   -26.35   -28.95     0.047
   -2.07   -14.68   -36.53        -2.07   -14.68   -36.53     0.001
  -24.35     8.04   -19.23       -24.35     8.07   -19.23     0.029
  -14.81   -21.19   -44.17       -14.81   -21.20   -44.18     0.014
   24.06   -11.63    -2.96        24.07   -11.68    -2.94     0.046
   18.02   -11.89   -23.61        18.04   -11.89   -23.60     0.023
  -10.63    -7.64     4.26       -10.63    -7.66     4.26     0.025
   -5.46     4.64   -28.21        -5.46     4.67   -28.22     0.025
  -24.25   -27.39   -19.05       -24.28   -27.45   -19.02     0.070
   35.93     5.63   -12.16        36.09     5.66   -12.21     0.165
   22.07    14.47   -29.10        22.00    14.43   -29.04     0.098
   33.27    17.20     2.99        33.24    17.16     2.99     0.057
   26.16    19.77   -17.46        26.16    19.78   -17.46     0.003
   16.81   -10.33     5.41        16.81   -10.31     5.40     0.020
   -3.47    -5.42    38.22        -3.42    -5.63    38.27     0.227
    2.00    -9.77    10.09         2.00    -9.82    10.10     0.055
   23.63    19.02    15.58        23.60    18.98    15.57     0.048
   -1.42    -7.30   -37.63        -1.49    -7.34   -37.63     0.082
   -7.35    10.95     8.27        -7.29    10.89     8.30     0.098
    2.52    -4.55    39.41         2.53    -4.33    39.40     0.217
  -27.44   -10.02   -47.24       -27.44   -10.02   -47.26     0.018
   35.44    -2.08   -19.57        35.42    -2.08   -19.56     0.018
    4.70    16.50    -9.25         4.68    16.52    -9.26     0.031
   37.63    -2.16    -0.13        37.61    -2.14    -0.13     0.028
   33.76    15.43    -3.95        33.76    15.43    -3.95     0.000
  -15.75     0.33   -45.78       -15.75     0.30   -45.73     0.054
    9.52    21.40    68.18         9.53    21.39    68.28     0.099
   22.54    10.52    64.65        22.54    10.52    64.65     0.000
  -10.00   -18.05   -13.07        -9.99   -18.11   -13.01     0.085
  -20.12   -17.80    -9.08       -20.13   -17.82    -9.04     0.042
   24.75     4.94    44.02        24.72     4.94    44.02     0.026
   34.47     9.12   -13.06        34.49     9.14   -13.07     0.031
   -7.18    11.29    48.92        -7.31    11.26    48.98     0.147
  -29.66     1.54   -12.24       -29.67     1.53   -12.27     0.036
   18.56    21.39   -15.22        18.56    21.41   -15.23     0.027
   10.47    20.95    33.37        10.46    21.06    33.36     0.111
   23.69     7.21    52.30        23.57     7.23    52.28     0.131
    7.52   -10.17     7.60         7.52   -10.16     7.60     0.012
   -2.96     5.66    68.66        -2.96     5.66    68.66     0.006
  -22.48   -26.39   -16.27       -22.48   -26.37   -16.29     0.033
    2.27    21.11    63.45         2.27    21.12    63.45     0.014
   39.77    -0.08    -9.73        39.71    -0.01    -9.73     0.091
   -6.37   -21.82   -40.40        -6.46   -21.81   -40.40     0.088
  -27.47     8.18   -19.64       -27.46     8.17   -19.65     0.020
   23.41     7.98   -31.99        23.42     7.97   -32.00     0.005
  -10.04    -8.79     1.74       -10.05    -8.63     1.69     0.159
   31.28    -7.95     2.64        31.34    -8.06     2.62     0.129
  -28.75   -11.83   -46.51       -28.74   -11.84   -46.55     0.040
   -3.48    12.59     4.41        -3.46    12.55     4.42     0.052
   21.45    -0.08    45.15        21.57    -0.21    45.18     0.177
   21.93     1.55    52.21        21.89     1.56    52.21     0.041
    4.65     7.60    68.94         4.60     7.59    68.85     0.103
  -37.92    -4.36   -39.09       -37.98    -4.35   -39.14     0.077
   -6.46     8.69    57.69        -6.52     8.70    57.70     0.060
  -13.79     4.22     6.62       -13.75     4.17     6.62     0.062
   25.07    17.29    19.35        25.02    17.25    19.34     0.065
  -38.90   -14.62   -36.16       -38.89   -14.62   -36.16     0.008
   -6.26     8.69    53.30        -6.49     8.68    53.33     0.235
  -29.07   -26.85   -21.71       -29.12   -26.92   -21.70     0.086
  -30.10   -15.78   -10.89       -30.09   -15.77   -10.94     0.051
